"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CR11023",0,0,0,0,0,0,0.75243,0.24757,"Pc","Pc"
"l(2)gl",0,0,0.364046,0,0,0,0,0.635954,"Low_signal","Gene_body_2"
"Ir21a",0,0,0,0.706783,0.270108,0,0,0.023109,"H1","H1"
"asRNA:CR43609",0,0,0,0.628884,0.371116,0,0,0,"H1","H1"
"Cda5",0.075096,0,0,0.429929,0,0,0,0.494975,"Low_signal","H1"
"lncRNA:CR46254",0,0,0,0.596842,0,0,0,0.403158,"H1","H1"
"lncRNA:CR45339",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR45340",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"dbr",0.146292,0,0,0,0,0.244499,0,0.609209,"Low_signal","Open_promoters"
"asRNA:CR44987",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"galectin",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11374",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"net",0,0,0,0.604108,0,0,0,0.395892,"H1","H1"
"Zir",0,0.571662,0.285831,0,0,0.081666,0,0.060841,"Gene_body_1","Gene_body_1"
"CG11377",0,0.364359,0,0,0,0.510783,0,0.124858,"Open_promoters","Open_promoters"
"Nhe1",0,0.266426,0.408664,0,0,0.32491,0,0,"Gene_body_2","Gene_body_2"
"Sam-S",0,0.19923,0.119538,0.039846,0,0,0,0.641387,"Low_signal","Gene_body_1"
"ND-15",0.02179,0.138001,0.116212,0.174317,0,0.087885,0,0.461795,"Low_signal","H1"
"CG13694",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4822",0,0,0,0.376254,0,0,0,0.623746,"Low_signal","H1"
"CG3164",0.1102,0,0.1102,0,0,0.1102,0,0.669401,"Low_signal","Enhancers"
"asRNA:CR44969",0,0,0.753769,0,0,0,0,0.246231,"Gene_body_2","Gene_body_2"
"Gs1",0,0,0,0.155324,0,0,0,0.844676,"Low_signal","Low_signal"
"lncRNA:CR44185",0,0,0,0.68595,0,0,0,0.31405,"H1","H1"
"lncRNA:CR44186",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31975",0,0,0,0.427914,0,0,0,0.572086,"Low_signal","H1"
"ovm",0,0,0,0.427914,0,0,0,0.572086,"Low_signal","H1"
"CG31974",0,0,0,0.855511,0,0,0,0.144489,"H1","H1"
"CG11454",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG42399",0,0.628515,0.297717,0.066159,0,0.007608,0,0,"Gene_body_1","Gene_body_1"
"CG3709",0,0,0.544168,0,0,0.455832,0,0,"Gene_body_2","Gene_body_2"
"CG3436",0,0,0,0,0,0.898595,0,0.101405,"Open_promoters","Open_promoters"
"CG33635",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"spen",0.196101,0.229911,0.182509,0.006762,0,0.020286,0,0.364431,"Low_signal","Gene_body_1"
"mRpL10",0,0,0.181456,0,0,0.818544,0,0,"Open_promoters","Open_promoters"
"CG11617",0,0,0.531323,0,0,0,0,0.468677,"Gene_body_2","Gene_body_2"
"Tbc1d15-17",0,0.119853,0.507614,0,0,0.253807,0,0.118725,"Gene_body_2","Gene_body_2"
"kis",0.179605,0.101402,0.291858,0,0,0,0,0.427135,"Low_signal","Gene_body_2"
"lncRNA:CR44220",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR44222",0.236333,0,0,0,0,0,0,0.763667,"Low_signal","Low_signal"
"lncRNA:CR44221",0,0.522686,0.477314,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"snoRNA:kis-a",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG13693",0,0.356188,0.643812,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"mir-965",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44218",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Rpp30",0,0,0.054723,0,0,0.449775,0,0.495502,"Low_signal","Open_promoters"
"CG3645",0.078309,0.078309,0.094545,0.046985,0,0.0284,0,0.673453,"Low_signal","Gene_body_2"
"CG17075",0.198518,0.079407,0,0,0,0,0,0.722075,"Low_signal","Enhancers"
"lncRNA:CR44219",0.25375,0,0,0,0,0,0,0.74625,"Low_signal","Enhancers"
"CG3345",0,0,0.118203,0,0,0.167849,0,0.713948,"Low_signal","Open_promoters"
"mbm",0,0,0.27066,0,0,0.396561,0,0.332779,"Open_promoters","Open_promoters"
"CG11555",0,0,0,0,0,0.068817,0,0.931183,"Low_signal","Low_signal"
"CG17078",0,0.038351,0.257584,0,0,0.686892,0,0.017172,"Open_promoters","Open_promoters"
"smo",0,0.458015,0.196292,0,0,0.112977,0,0.232715,"Gene_body_1","Gene_body_1"
"CG11601",0,0,0.418386,0,0,0,0,0.581614,"Low_signal","Gene_body_2"
"CG3625",0.071344,0,0.192033,0,0,0.178359,0,0.558264,"Low_signal","Gene_body_2"
"asRNA:CR46262",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR46263",0.314301,0,0,0,0,0.061289,0,0.624411,"Low_signal","Enhancers"
"Amnionless",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11562",0,0,0.15193,0,0,0.747198,0,0.100872,"Open_promoters","Open_promoters"
"U2af38",0,0,0.174216,0,0,0.081882,0,0.743902,"Low_signal","Gene_body_2"
