"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CR11023",0,0,0,0,0,0,0.75243,0.24757,"Pc","Pc"
"l(2)gl",0,0.104013,0.23403,0,0,0,0,0.661957,"Low_signal","Gene_body_2"
"Ir21a",0,0,0,0.256603,0.360144,0,0,0.383253,"Low_signal","HP1"
"asRNA:CR43609",0,0,0,0,0.502407,0,0,0.497593,"HP1","HP1"
"Cda5",0.029999,0,0,0.067497,0.014999,0,0.029999,0.857507,"Low_signal","Low_signal"
"lncRNA:CR46254",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45339",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45340",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"dbr",0,0,0.244499,0,0,0.329666,0,0.425835,"Low_signal","Open_promoters"
"asRNA:CR44987",0,0,0,0,0,0.643547,0,0.356453,"Open_promoters","Open_promoters"
"galectin",0,0,0,0,0,0.391334,0,0.608666,"Low_signal","Open_promoters"
"CG11374",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"net",0,0,0,0.362465,0,0.181232,0,0.456303,"Low_signal","H1"
"Zir",0,0.163332,0.489996,0,0,0.122499,0,0.224173,"Gene_body_2","Gene_body_2"
"CG11377",0,0.53462,0,0,0,0.340522,0,0.124858,"Gene_body_1","Gene_body_1"
"Nhe1",0,0.158123,0.433213,0,0,0.408664,0,0,"Gene_body_2","Gene_body_2"
"Sam-S",0,0,0.318767,0,0.079692,0.066011,0,0.535529,"Low_signal","Gene_body_2"
"ND-15",0.079895,0.079895,0.159791,0.043579,0.043579,0.095148,0,0.498112,"Low_signal","Gene_body_2"
"CG13694",0.078362,0,0,0,0,0,0,0.921638,"Low_signal","Low_signal"
"CG4822",0.188127,0,0.053094,0,0,0,0,0.758779,"Low_signal","Low_signal"
"CG3164",0.073466,0.036733,0.266438,0,0,0.1102,0,0.513163,"Low_signal","Gene_body_2"
"asRNA:CR44969",0,0.251256,0.639028,0,0,0,0,0.109715,"Gene_body_2","Gene_body_2"
"Gs1",0,0,0.250522,0,0,0.375783,0,0.373695,"Open_promoters","Open_promoters"
"lncRNA:CR44185",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44186",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31975",0,0,0,0.230061,0.427914,0,0,0.342025,"HP1","HP1"
"ovm",0,0,0,0.230061,0.427914,0,0,0.342025,"HP1","HP1"
"CG31974",0.297915,0,0,0.557597,0,0,0,0.144489,"H1","H1"
"CG11454",0,0.251106,0,0,0,0.663717,0,0.085177,"Open_promoters","Open_promoters"
"CG42399",0,0.305326,0.297717,0,0,0,0,0.396957,"Low_signal","Gene_body_1"
"CG3709",0,0,0,0,0.204417,0.455832,0,0.339751,"Open_promoters","Open_promoters"
"CG3436",0,0,0.183262,0,0,0.715333,0,0.101405,"Open_promoters","Open_promoters"
"CG33635",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"spen",0.148766,0.16229,0.229911,0,0,0.040573,0,0.41846,"Low_signal","Gene_body_2"
"mRpL10",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG11617",0,0.352388,0,0,0,0.061472,0,0.586139,"Low_signal","Gene_body_1"
"Tbc1d15-17",0,0.035251,0.592217,0,0,0.253807,0,0.118725,"Gene_body_2","Gene_body_2"
"kis",0.037418,0.131336,0.344243,0.014967,0,0,0,0.472037,"Low_signal","Gene_body_2"
"lncRNA:CR44220",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44222",0.236333,0,0,0,0,0,0,0.763667,"Low_signal","Low_signal"
"lncRNA:CR44221",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"snoRNA:kis-a",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG13693",0,0.356188,0.643812,0,0,0,0,0,"Gene_body_2","Gene_body_2"
