"","epNSCs","qNSCs","lpNSCs","gene"
"CR11023","Pc","Pc","Pc","CR11023"
"l(2)gl","Gene_body_2","Gene_body_2","Gene_body_1","l(2)gl"
"Ir21a","H1","HP1","Low_signal","Ir21a"
"asRNA:CR43609","H1","HP1","Low_signal","asRNA:CR43609"
"Cda5","H1","Low_signal","H1","Cda5"
"lncRNA:CR46254","H1","Low_signal","Low_signal","lncRNA:CR46254"
"lncRNA:CR45339","Enhancers","Low_signal","Low_signal","lncRNA:CR45339"
"lncRNA:CR45340","Enhancers","Open_promoters","Enhancers","lncRNA:CR45340"
"dbr","Open_promoters","Open_promoters","Open_promoters","dbr"
"asRNA:CR44987","Low_signal","Open_promoters","Enhancers","asRNA:CR44987"
"galectin","Low_signal","Open_promoters","Low_signal","galectin"
"net","H1","H1","H1","net"
"Zir","Gene_body_1","Gene_body_2","Gene_body_2","Zir"
"CG11377","Open_promoters","Gene_body_1","Open_promoters","CG11377"
"Nhe1","Gene_body_2","Gene_body_2","Open_promoters","Nhe1"
"Sam-S","Gene_body_1","Gene_body_2","Gene_body_2","Sam-S"
"ND-15","H1","Gene_body_2","Gene_body_1","ND-15"
"CG13694","Low_signal","Low_signal","Gene_body_2","CG13694"
"CG4822","H1","Low_signal","Low_signal","CG4822"
"CG3164","Enhancers","Gene_body_2","Gene_body_2","CG3164"
"asRNA:CR44969","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR44969"
"Gs1","Low_signal","Open_promoters","Low_signal","Gs1"
"lncRNA:CR44185","H1","Low_signal","Enhancers","lncRNA:CR44185"
"lncRNA:CR44186","Low_signal","Low_signal","Enhancers","lncRNA:CR44186"
"CG31975","H1","HP1","Enhancers","CG31975"
"ovm","H1","HP1","Enhancers","ovm"
"CG31974","H1","H1","H1","CG31974"
"CG11454","Open_promoters","Open_promoters","Open_promoters","CG11454"
"CG42399","Gene_body_1","Gene_body_1","Gene_body_1","CG42399"
"CG3709","Gene_body_2","Open_promoters","Open_promoters","CG3709"
"CG3436","Open_promoters","Open_promoters","Open_promoters","CG3436"
"spen","Gene_body_1","Gene_body_2","Gene_body_1","spen"
"mRpL10","Open_promoters","Open_promoters","Open_promoters","mRpL10"
"CG11617","Gene_body_2","Gene_body_1","Gene_body_2","CG11617"
"Tbc1d15-17","Gene_body_2","Gene_body_2","Gene_body_1","Tbc1d15-17"
"kis","Gene_body_2","Gene_body_2","Gene_body_2","kis"
"lncRNA:CR44220","Enhancers","Low_signal","Low_signal","lncRNA:CR44220"
"lncRNA:CR44221","Gene_body_1","Gene_body_2","Enhancers","lncRNA:CR44221"
"snoRNA:kis-a","Gene_body_1","Gene_body_1","Gene_body_1","snoRNA:kis-a"
"CG13693","Gene_body_2","Gene_body_2","Gene_body_2","CG13693"
"Rpp30","Open_promoters","Open_promoters","Open_promoters","Rpp30"
"CG3645","Gene_body_2","Open_promoters","Gene_body_1","CG3645"
"CG17075","Enhancers","Open_promoters","Low_signal","CG17075"
"lncRNA:CR44219","Enhancers","Low_signal","Low_signal","lncRNA:CR44219"
"CG3345","Open_promoters","HP1","Open_promoters","CG3345"
"mbm","Open_promoters","Open_promoters","Open_promoters","mbm"
"CG17078","Open_promoters","Open_promoters","Open_promoters","CG17078"
"smo","Gene_body_1","Gene_body_2","Gene_body_2","smo"
"CG11601","Gene_body_2","Open_promoters","Open_promoters","CG11601"
"CG3625","Gene_body_2","Open_promoters","Open_promoters","CG3625"
"asRNA:CR46262","Gene_body_2","Low_signal","Low_signal","asRNA:CR46262"
"asRNA:CR46263","Enhancers","Open_promoters","Enhancers","asRNA:CR46263"
"Amnionless","Low_signal","HP1","Low_signal","Amnionless"
"CG11562","Open_promoters","Open_promoters","Open_promoters","CG11562"
"U2af38","Gene_body_2","Open_promoters","Open_promoters","U2af38"
"Stip1","Open_promoters","Open_promoters","Open_promoters","Stip1"
"Pi3K21B","Gene_body_1","Gene_body_2","Gene_body_2","Pi3K21B"
"Plc21C","H1","Enhancers","Enhancers","Plc21C"
"lncRNA:CR43719","Enhancers","Enhancers","Enhancers","lncRNA:CR43719"
"CG11912","H1","H1","Enhancers","CG11912"
"CG11911","H1","Low_signal","H1","CG11911"
"CG33127","H1","Enhancers","Enhancers","CG33127"
"CG43755","H1","Enhancers","Enhancers","CG43755"
"CG31921","H1","H1","Enhancers","CG31921"
"Ent1","Gene_body_2","Gene_body_2","Gene_body_2","Ent1"
"asRNA:CR45367","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45367"
"al","Pc","Pc","Pc","al"
"CG4213","H1","H1","Enhancers","CG4213"
"Polr1B","Gene_body_1","Gene_body_1","Gene_body_1","Polr1B"
"AP-2alpha","Gene_body_2","Gene_body_2","Gene_body_2","AP-2alpha"
"ebi","Open_promoters","Gene_body_2","Open_promoters","ebi"
"CG13690","Open_promoters","Open_promoters","Open_promoters","CG13690"
"CG13692","Low_signal","Enhancers","Low_signal","CG13692"
"BBS8","H1","H1","H1","BBS8"
"ex","Gene_body_2","H1","Gene_body_1","ex"
"lncRNA:CR43717","H1","H1","Enhancers","lncRNA:CR43717"
"crq","Gene_body_2","Gene_body_2","Gene_body_2","crq"
"shv","Open_promoters","Open_promoters","Open_promoters","shv"
"CG4133","Open_promoters","Open_promoters","Open_promoters","CG4133"
"CG4297","H1","H1","H1","CG4297"
"MED15","Gene_body_2","Gene_body_2","Gene_body_2","MED15"
"ush","H1","Enhancers","Pc","ush"
"cbt","Gene_body_1","Gene_body_2","Gene_body_1","cbt"
"lncRNA:CR46258","Enhancers","Pc","Pc","lncRNA:CR46258"
"lncRNA:CR46259","H1","Enhancers","Pc","lncRNA:CR46259"
"Spp","Open_promoters","Open_promoters","Open_promoters","Spp"
"Ets21C","Pc","Pc","Pc","Ets21C"
"nAChRbeta3","Low_signal","Pc","Pc","nAChRbeta3"
"rempA","Gene_body_1","Pc","Gene_body_1","rempA"
"Tspo","H1","Pc","Open_promoters","Tspo"
"CG11835","H1","Low_signal","H1","CG11835"
"CG2794","Gene_body_2","Gene_body_2","Gene_body_1","CG2794"
"Nle","Open_promoters","Open_promoters","Open_promoters","Nle"
"Sf3b1","Gene_body_2","Open_promoters","Gene_body_1","Sf3b1"
"Ipk2","Open_promoters","Open_promoters","Open_promoters","Ipk2"
"cold","Open_promoters","Open_promoters","Open_promoters","cold"
"Ptth","Gene_body_2","Pc","Low_signal","Ptth"
"Pph13","Pc","Pc","Pc","Pph13"
"Gsc","Pc","Pc","Pc","Gsc"
"lncRNA:CR46148","Pc","Pc","Pc","lncRNA:CR46148"
"CG13689","Open_promoters","Open_promoters","Open_promoters","CG13689"
"lncRNA:CR43649","Low_signal","Pc","H1","lncRNA:CR43649"
"lectin-21Cb","H1","H1","H1","lectin-21Cb"
"lncRNA:CR44797","Low_signal","Low_signal","H1","lncRNA:CR44797"
"lectin-21Ca","Low_signal","H1","Low_signal","lectin-21Ca"
"CG2839","H1","H1","H1","CG2839"
"ds","H1","H1","H1","ds"
"lncRNA:CR44988","H1","H1","Enhancers","lncRNA:CR44988"
"lncRNA:CR46260","H1","Enhancers","H1","lncRNA:CR46260"
"Hsp60B","H1","H1","H1","Hsp60B"
"Eaat2","Low_signal","Enhancers","Enhancers","Eaat2"
"GABA-B-R3","H1","Enhancers","Enhancers","GABA-B-R3"
"lncRNA:CR44614","H1","Low_signal","Low_signal","lncRNA:CR44614"
"CG12506","H1","Low_signal","H1","CG12506"
"CG13946","H1","H1","Enhancers","CG13946"
"CG13947","H1","Low_signal","Low_signal","CG13947"
"Gr21a","H1","Enhancers","Enhancers","Gr21a"
"CG3544","H1","HP1","H1","CG3544"
"Pkg21D","H1","HP1","H1","Pkg21D"
"Dbp21E2","Gene_body_2","Gene_body_2","Low_signal","Dbp21E2"
"Saf6","Gene_body_1","Gene_body_2","Gene_body_1","Saf6"
"Pex12","Gene_body_2","Gene_body_2","Gene_body_2","Pex12"
"CG15880","Gene_body_2","Gene_body_2","Gene_body_2","CG15880"
"PGAP2","Gene_body_1","Open_promoters","Open_promoters","PGAP2"
"Clp","Open_promoters","Open_promoters","Open_promoters","Clp"
"CG3662","Gene_body_2","Gene_body_2","Low_signal","CG3662"
"CG3862","Open_promoters","Open_promoters","Open_promoters","CG3862"
"dock","Gene_body_2","Gene_body_2","Enhancers","dock"
"drongo","H1","Enhancers","Enhancers","drongo"
"CG4291","Open_promoters","Open_promoters","Open_promoters","CG4291"
"kraken","Gene_body_2","Gene_body_2","Gene_body_2","kraken"
"CG13949","Low_signal","Low_signal","Enhancers","CG13949"
"lncRNA:CR45345","H1","HP1","Enhancers","lncRNA:CR45345"
"mir-375","Low_signal","Enhancers","Enhancers","mir-375"
"CG13950","H1","H1","H1","CG13950"
"aru","H1","H1","H1","aru"
"snoRNA:Me28S-U1230","H1","H1","H1","snoRNA:Me28S-U1230"
"dbe","Open_promoters","Open_promoters","Open_promoters","dbe"
"PNUTS","Gene_body_2","Gene_body_2","Gene_body_2","PNUTS"
"CG15824","Gene_body_2","H1","H1","CG15824"
"ninaA","Gene_body_2","Gene_body_2","Gene_body_2","ninaA"
"lncRNA:CR45348","Low_signal","Enhancers","Enhancers","lncRNA:CR45348"
"Lsp1beta","Enhancers","HP1","H1","Lsp1beta"
"snRNA:U1:21D","Enhancers","Low_signal","Enhancers","snRNA:U1:21D"
"scaRNA:MeU1:95C-A24","Enhancers","Low_signal","Enhancers","scaRNA:MeU1:95C-A24"
"lncRNA:CR45261","Enhancers","Enhancers","Enhancers","lncRNA:CR45261"
"lncRNA:CR44061","Low_signal","Pc","Enhancers","lncRNA:CR44061"
"GluRIIC","Low_signal","HP1","H1","GluRIIC"
"CG4341","H1","Open_promoters","Enhancers","CG4341"
"lncRNA:CR44801","H1","H1","H1","lncRNA:CR44801"
"IA-2","H1","Enhancers","Enhancers","IA-2"
"asRNA:CR46486","H1","Low_signal","Enhancers","asRNA:CR46486"
"CG4415","H1","HP1","Enhancers","CG4415"
"S","Enhancers","Enhancers","Enhancers","S"
"ast","Gene_body_2","Gene_body_2","Gene_body_2","ast"
"Atg4a","Gene_body_2","Gene_body_2","Gene_body_2","Atg4a"
"CG4629","Low_signal","Low_signal","Enhancers","CG4629"
"PolrMT","Gene_body_2","Gene_body_1","Gene_body_1","PolrMT"
"CG14339","Low_signal","H1","H1","CG14339"
"CG14340","Gene_body_1","Gene_body_2","Gene_body_1","CG14340"
"Pino","Gene_body_2","Enhancers","Gene_body_1","Pino"
"TBC1D23","Gene_body_2","Gene_body_2","Gene_body_1","TBC1D23"
"Iris","H1","H1","H1","Iris"
"CG4577","Low_signal","Low_signal","Enhancers","CG4577"
"lncRNA:CR45717","Low_signal","Enhancers","Enhancers","lncRNA:CR45717"
"MFS3","Low_signal","Open_promoters","Enhancers","MFS3"
"l(2)10685","Gene_body_2","Gene_body_2","Open_promoters","l(2)10685"
"Tfb4","Low_signal","Low_signal","Open_promoters","Tfb4"
"Vps29","Open_promoters","Gene_body_2","Open_promoters","Vps29"
"capt","Enhancers","Open_promoters","Enhancers","capt"
"asRNA:CR43767","Open_promoters","Open_promoters","Low_signal","asRNA:CR43767"
"Tango14","Open_promoters","Open_promoters","Gene_body_2","Tango14"
"CG5080","Gene_body_2","Gene_body_1","H1","CG5080"
"IntS14","Gene_body_2","Low_signal","Open_promoters","IntS14"
"CG14341","Open_promoters","Open_promoters","Open_promoters","CG14341"
"Plap","Open_promoters","Gene_body_2","Open_promoters","Plap"
"CG31922","Open_promoters","Open_promoters","Open_promoters","CG31922"
"Charon","Open_promoters","Open_promoters","Open_promoters","Charon"
"CG4887","Gene_body_2","Gene_body_2","Gene_body_2","CG4887"
"CG4896","Gene_body_2","Gene_body_1","Gene_body_1","CG4896"
"CG5126","Gene_body_2","Gene_body_2","H1","CG5126"
"Tgt","Gene_body_2","Gene_body_1","Gene_body_1","Tgt"
"CG5001","H1","Enhancers","Enhancers","CG5001"
"CG5139","Low_signal","H1","Low_signal","CG5139"
"CG14342","H1","Enhancers","Enhancers","CG14342"
"lncRNA:CR45346","Enhancers","Enhancers","Low_signal","lncRNA:CR45346"
"CG42329","H1","Low_signal","H1","CG42329"
"CG5397","Low_signal","Low_signal","H1","CG5397"
"robo3","H1","Enhancers","Enhancers","robo3"
"a5","H1","H1","H1","a5"
"CG5440","H1","H1","H1","CG5440"
"CG33923","H1","Low_signal","Low_signal","CG33923"
"Cdlc2","H1","Pc","H1","Cdlc2"
"CG5556","H1","Low_signal","Low_signal","CG5556"
"CG5561","H1","HP1","H1","CG5561"
"CG31924","Low_signal","H1","H1","CG31924"
"CG5565","H1","H1","Low_signal","CG5565"
"NLaz","H1","H1","H1","NLaz"
"CG14346","Low_signal","H1","Enhancers","CG14346"
"lncRNA:CR44898","Gene_body_2","Low_signal","Gene_body_2","lncRNA:CR44898"
"robo2","Enhancers","Enhancers","Enhancers","robo2"
"asRNA:CR44897","Gene_body_2","Low_signal","H1","asRNA:CR44897"
"CG43401","Enhancers","Low_signal","Low_signal","CG43401"
"CG43402","Enhancers","Low_signal","Low_signal","CG43402"
"CG31928","Low_signal","H1","Low_signal","CG31928"
"CG33128","Low_signal","H1","H1","CG33128"
"CG31926","Low_signal","H1","H1","CG31926"
"CG31661","H1","H1","H1","CG31661"
"CG18131","Gene_body_1","H1","H1","CG18131"
"CG7420","Gene_body_1","Open_promoters","Gene_body_2","CG7420"
"asRNA:CR44064","Gene_body_1","Open_promoters","Gene_body_2","asRNA:CR44064"
"Or22a","H1","HP1","H1","Or22a"
"Or22b","H1","H1","H1","Or22b"
"haf","H1","Enhancers","Enhancers","haf"
"nis","H1","H1","H1","nis"
"Rab3GAP1","H1","Low_signal","Low_signal","Rab3GAP1"
"CG14352","Open_promoters","Open_promoters","Open_promoters","CG14352"
"RFeSP","Open_promoters","Open_promoters","Open_promoters","RFeSP"
"lncRNA:CR44603","Enhancers","Enhancers","Enhancers","lncRNA:CR44603"
"lncRNA:CR45695","Enhancers","Enhancers","Enhancers","lncRNA:CR45695"
"chinmo","Enhancers","Enhancers","Enhancers","chinmo"
"cpb","Open_promoters","Open_promoters","Open_promoters","cpb"
"CG17660","Gene_body_2","Gene_body_2","Open_promoters","CG17660"
"asRNA:CR44976","Gene_body_2","Low_signal","Gene_body_2","asRNA:CR44976"
"mRpL48","Open_promoters","Open_promoters","Open_promoters","mRpL48"
"frtz","Gene_body_2","Gene_body_2","Gene_body_1","frtz"
"Rim2","Gene_body_2","Gene_body_2","Gene_body_1","Rim2"
"Eno","Enhancers","Open_promoters","Enhancers","Eno"
"Rrp40","Open_promoters","Gene_body_2","Open_promoters","Rrp40"
"CG31937","Gene_body_1","Gene_body_2","Gene_body_2","CG31937"
"CG17652","Open_promoters","Open_promoters","Open_promoters","CG17652"
"CG17646","Gene_body_1","Gene_body_2","H1","CG17646"
"CG17712","Open_promoters","Gene_body_2","Open_promoters","CG17712"
"Gr22e","H1","Pc","Enhancers","Gr22e"
"Gr22d","Low_signal","H1","H1","Gr22d"
"Gr22c","H1","H1","H1","Gr22c"
"Gr22b","H1","H1","H1","Gr22b"
"Gr22a","H1","H1","H1","Gr22a"
"CG31933","H1","H1","H1","CG31933"
"CG31664","H1","HP1","H1","CG31664"
"c-cup","H1","Enhancers","Low_signal","c-cup"
"mir-2280","H1","Enhancers","Low_signal","mir-2280"
"wry","Low_signal","Enhancers","Enhancers","wry"
"lncRNA:CR44073","Low_signal","Open_promoters","Enhancers","lncRNA:CR44073"
"lncRNA:CR44074","Low_signal","Open_promoters","Enhancers","lncRNA:CR44074"
"CG7295","H1","HP1","H1","CG7295"
"CG15358","Low_signal","Low_signal","H1","CG15358"
"Wdr62","H1","Enhancers","Enhancers","Wdr62"
"tRNA:Gly-GCC-1-1","H1","Pc","Low_signal","tRNA:Gly-GCC-1-1"
"CG15357","Pc","Pc","Pc","CG15357"
"CG33673","Pc","Pc","Pc","CG33673"
"erm","Pc","Pc","Pc","erm"
"tRNA:Arg-TCT-2-1","Pc","Pc","Pc","tRNA:Arg-TCT-2-1"
"Der-1","Pc","Open_promoters","Open_promoters","Der-1"
"CG15356","Gene_body_2","Gene_body_2","Gene_body_2","CG15356"
"CG15362","Low_signal","HP1","Open_promoters","CG15362"
"CG7289","Open_promoters","Open_promoters","Open_promoters","CG7289"
"Got2","Gene_body_1","Gene_body_2","Gene_body_2","Got2"
"Npc2a","Low_signal","HP1","Enhancers","Npc2a"
"lncRNA:CR42874","H1","Low_signal","Low_signal","lncRNA:CR42874"
"Obp22a","H1","H1","H1","Obp22a"
