"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CR11023",0,0,0,0,0,0,1,0,"Pc","Pc"
"l(2)gl",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR43609",0,0,0,0,0.38,0,0,0.62,"Low_signal","HP1"
"Ir21a",0,0,0,0.778571,0,0,0,0.221429,"H1","H1"
"lncRNA:CR46254",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cda5",0.72,0,0,0,0,0,0,0.28,"Enhancers","Enhancers"
"lncRNA:CR45339",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR45340",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"dbr",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"galectin",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR44987",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11374",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"net",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Zir",0,0,0.0975,0,0,0,0,0.9025,"Low_signal","Low_signal"
"CG11377",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nhe1",0,0,0.382857,0,0,0,0,0.617143,"Low_signal","Gene_body_2"
"Sam-S",0,0,0.4925,0,0,0,0,0.5075,"Low_signal","Gene_body_2"
"ND-15",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13694",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4822",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR44969",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3164",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gs1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44185",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44186",0,0,0,0.14,0,0,0,0.86,"Low_signal","Low_signal"
"CG31975",0,0,0,0.702857,0,0,0,0.297143,"H1","H1"
"ovm",0,0,0,0.702857,0,0,0,0.297143,"H1","H1"
"CG31974",0,0,0,0,0,0.701429,0,0.298571,"Open_promoters","Open_promoters"
