"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CR11023",0,0,0,0,0,0,1,0,"Pc","Pc"
"l(2)gl",0,0.182023,0.182023,0,0,0,0.005287,0.630667,"Low_signal","Gene_body_1"
"Ir21a",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR43609",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cda5",0.037498,0.022499,0,0.134993,0,0,0.059997,0.745013,"Low_signal","H1"
"lncRNA:CR46254",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45339",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45340",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"dbr",0.146292,0,0.122249,0,0,0.244499,0,0.48696,"Low_signal","Open_promoters"
"asRNA:CR44987",0.321773,0,0,0,0,0,0,0.678227,"Low_signal","Enhancers"
"galectin",0.202066,0,0,0,0,0,0,0.797934,"Low_signal","Low_signal"
"CG11374",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"net",0,0,0,0.604108,0,0,0,0.395892,"H1","H1"
"Zir",0,0.163332,0.449163,0,0,0.081666,0,0.305839,"Gene_body_2","Gene_body_2"
"CG11377",0,0,0.364359,0,0,0.510783,0,0.124858,"Open_promoters","Open_promoters"
"Nhe1",0,0,0.158123,0,0,0.300361,0,0.541516,"Low_signal","Open_promoters"
"Sam-S",0.079692,0.119538,0.19923,0,0,0,0,0.601541,"Low_signal","Gene_body_2"
"ND-15",0.087159,0.108948,0.087159,0.079895,0.014526,0.087885,0,0.534428,"Low_signal","Gene_body_1"
"CG13694",0,0,0.612645,0,0,0,0,0.387355,"Gene_body_2","Gene_body_2"
"CG4822",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3164",0.073466,0,0.192972,0,0,0.1102,0,0.623362,"Low_signal","Gene_body_2"
"asRNA:CR44969",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Gs1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44185",0.31405,0,0,0,0,0,0,0.68595,"Low_signal","Enhancers"
"lncRNA:CR44186",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG31975",0.457055,0,0,0.427914,0,0,0,0.115031,"Enhancers","Enhancers"
"ovm",0.457055,0,0,0.427914,0,0,0,0.115031,"Enhancers","Enhancers"
"CG31974",0.442403,0,0,0.557597,0,0,0,0,"H1","H1"
"CG11454",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG42399",0,0.396957,0.066159,0.099239,0,0.007608,0,0.430036,"Low_signal","Gene_body_1"
"CG3709",0,0,0,0,0.204417,0.455832,0,0.339751,"Open_promoters","Open_promoters"
"CG3436",0,0,0,0,0,0.898595,0,0.101405,"Open_promoters","Open_promoters"
"CG33635",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"spen",0.175814,0.270483,0.081145,0,0,0.020286,0,0.452271,"Low_signal","Gene_body_1"
"mRpL10",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG11617",0,0,0.469851,0,0,0.061472,0,0.468677,"Gene_body_2","Gene_body_2"
"Tbc1d15-17",0,0.338409,0.289058,0,0,0.253807,0,0.118725,"Gene_body_1","Gene_body_1"
"kis",0.10477,0.119737,0.243589,0,0,0,0,0.531905,"Low_signal","Gene_body_2"
"lncRNA:CR44220",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44222",0.236333,0,0,0,0,0,0,0.763667,"Low_signal","Low_signal"
"lncRNA:CR44221",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"snoRNA:kis-a",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG13693",0,0.356188,0.643812,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"mir-965",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44218",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Rpp30",0,0,0,0,0,0.729385,0,0.270615,"Open_promoters","Open_promoters"
"CG3645",0.031323,0.09397,0.015662,0.09397,0,0.091621,0,0.673453,"Low_signal","Gene_body_1"
"CG17075",0,0,0,0.119111,0,0.079407,0,0.801482,"Low_signal","Low_signal"
"lncRNA:CR44219",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3345",0,0,0,0,0,0.286052,0,0.713948,"Low_signal","Open_promoters"
"mbm",0,0,0,0,0,0.500832,0,0.499168,"Open_promoters","Open_promoters"
"CG11555",0,0,0,0,0,0.068817,0,0.931183,"Low_signal","Low_signal"
"CG17078",0,0,0,0,0,0.725243,0,0.274757,"Open_promoters","Open_promoters"
"smo",0,0.196292,0.392585,0,0,0.178408,0,0.232715,"Gene_body_2","Gene_body_2"
"CG11601",0,0,0,0,0,0.418386,0,0.581614,"Low_signal","Open_promoters"
"CG3625",0.214031,0,0,0,0,0.263377,0,0.522592,"Low_signal","Open_promoters"
"asRNA:CR46262",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR46263",0.471451,0,0,0,0,0.061289,0,0.46726,"Enhancers","Enhancers"
"Amnionless",0.078224,0,0,0,0,0,0,0.921776,"Low_signal","Low_signal"
"CG11562",0,0,0,0,0,0.899128,0,0.100872,"Open_promoters","Open_promoters"
"U2af38",0,0,0,0,0,0.256098,0,0.743902,"Low_signal","Open_promoters"
