"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CR11023",0,0,0,0,0,0,1,0,"Pc","Pc"
"l(2)gl",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR43609",0,0,0,0,0.38,0,0,0.62,"Low_signal","HP1"
"Ir21a",0,0,0,0.35,0,0,0,0.65,"Low_signal","H1"
"lncRNA:CR46254",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cda5",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45339",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45340",0,0,0,0,0,0.295,0,0.705,"Low_signal","Open_promoters"
"dbr",0,0,0,0,0,0.705,0,0.295,"Open_promoters","Open_promoters"
"galectin",0,0,0,0,0,0.3925,0,0.6075,"Low_signal","Open_promoters"
"asRNA:CR44987",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11374",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"net",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Zir",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11377",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nhe1",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Sam-S",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"ND-15",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13694",0.428571,0,0,0,0,0,0,0.571429,"Low_signal","Enhancers"
"CG4822",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR44969",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG3164",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gs1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44185",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44186",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31975",0,0,0,0.702857,0,0,0,0.297143,"H1","H1"
"ovm",0,0,0,0.702857,0,0,0,0.297143,"H1","H1"
